direction,entry_price,won
hold,88969.6,
hold,88960.1,
hold,88960.1,
hold,88960.0,
hold,88960.0,
hold,88950.0,
hold,88946.3,
hold,88923.5,
hold,88917.0,
hold,88900.1,
hold,88892.5,
hold,88911.2,
hold,88911.3,
hold,88884.4,
hold,88884.4,
hold,88882.7,
hold,88882.7,
hold,88874.7,
hold,88867.1,
hold,88872.1,
hold,88861.6,
hold,88860.1,
hold,88847.9,
sell,88876.1,False,Failed
hold,88870.2,
hold,88870.3,
hold,88870.3,
hold,88874.5,
hold,88882.8,
sell,88888.0,False,Failed
hold,88888.0,
hold,88880.1,
hold,88880.1,
hold,88870.3,
hold,88870.4,
sell,88882.4,False,Failed
hold,88882.4,
hold,88899.8,
hold,88902.0,
hold,88904.3,
hold,88904.3,
sell,88907.6,False,Failed
hold,88907.6,
hold,88918.7,
hold,88919.9,
hold,88919.9,
hold,88919.9,
hold,88919.9,
hold,88919.9,
hold,88916.2,
hold,88924.9,
hold,88928.0,
hold,88927.9,
hold,88948.2,
hold,88951.6,
buy,88921.6,True,"{'info': {'orderId': 'd997db90-e321-426b-a476-d1e88ee2ca62', 'orderLinkId': ''}, 'id': 'd997db90-e321-426b-a476-d1e88ee2ca62', 'clientOrderId': None, 'timestamp': None, 'datetime': None, 'lastTradeTimestamp': None, 'lastUpdateTimestamp': None, 'symbol': 'BTC/USDT:USDT', 'type': None, 'timeInForce': None, 'postOnly': None, 'reduceOnly': None, 'side': None, 'price': None, 'stopPrice': None, 'triggerPrice': None, 'takeProfitPrice': None, 'stopLossPrice': None, 'amount': None, 'cost': None, 'average': None, 'filled': None, 'remaining': None, 'status': None, 'fee': None, 'trades': [], 'fees': []}"
buy,88926.9,True,"{'info': {'orderId': 'c6435074-6f50-4cd5-ae0b-a4974ceb7cfb', 'orderLinkId': ''}, 'id': 'c6435074-6f50-4cd5-ae0b-a4974ceb7cfb', 'clientOrderId': None, 'timestamp': None, 'datetime': None, 'lastTradeTimestamp': None, 'lastUpdateTimestamp': None, 'symbol': 'BTC/USDT:USDT', 'type': None, 'timeInForce': None, 'postOnly': None, 'reduceOnly': None, 'side': None, 'price': None, 'stopPrice': None, 'triggerPrice': None, 'takeProfitPrice': None, 'stopLossPrice': None, 'amount': None, 'cost': None, 'average': None, 'filled': None, 'remaining': None, 'status': None, 'fee': None, 'trades': [], 'fees': []}"
buy,88926.9,False,Failed
buy,88926.9,False,Failed
hold,88918.4,
hold,88918.4,
hold,88926.9,
hold,88926.9,
hold,88936.5,
buy,88936.5,False,Failed
hold,88936.4,
hold,88936.4,
hold,88936.4,
hold,88936.5,
hold,88945.9,
hold,88946.0,
hold,88945.9,
hold,88946.0,
hold,88951.5,
hold,88951.4,
hold,88954.3,
hold,88954.2,
hold,88954.3,
hold,88954.2,
buy,88941.2,False,Failed
hold,88941.2,
hold,88941.2,
hold,88941.3,
hold,88941.3,
hold,88941.3,
buy,88941.3,False,Failed
hold,88941.2,
hold,88941.3,
hold,88953.7,
hold,88949.3,
hold,88949.3,
buy,88949.3,False,Failed
hold,88949.2,
hold,88952.4,
hold,88952.4,
hold,88956.0,
hold,88956.0,
hold,88956.0,
hold,88956.0,
buy,88949.4,False,Failed
hold,88949.4,
hold,88949.3,
hold,88949.3,
hold,88949.3,
hold,88949.4,
buy,88949.4,False,Failed
hold,88949.4,
hold,88949.3,
hold,88949.3,
hold,88947.0,
hold,88947.0,
buy,88947.1,False,Failed
hold,88947.1,
hold,88947.0,
hold,88947.1,
hold,88947.0,
hold,88947.0,
hold,88965.0,
hold,88965.1,
hold,88961.9,
hold,88961.9,
hold,88947.1,
hold,88947.1,
hold,88947.0,
hold,88947.0,
hold,88947.0,
hold,88947.0,
hold,88947.0,
hold,88947.0,
hold,88947.0,
hold,88947.0,
hold,88947.0,
hold,88947.0,
hold,88947.1,
hold,88947.0,
hold,88947.0,
hold,88933.3,
hold,88932.0,
hold,88932.0,
hold,88918.5,
hold,88918.4,
hold,88907.8,
hold,88907.8,
hold,88916.3,
hold,88914.2,
hold,88909.0,
hold,88909.0,
hold,88900.4,
